title,sdgs
"Clinical presentation and outcome of perforated peptic ulcer patients at Dr. Soetomo Hospital Surabaya, Indonesia",SDG 3
"Hepatitis B virus X gene mutation with predominance A1762T+G1764A double mutation on chronic liver disease patients in Surabaya, Indonesia",SDG 3
Hepatitis B virus infection in Indonesia 15 years after adoption of a universal infant vaccination program: Possible impacts of low birth dose coverage and a vaccine-escape mutant,SDG 3
Hepatitis B virus infection in Indonesia,SDG 3
Hemorrhagic pleural effusion in Indonesian male with pulmonary tuberculosis: A rare case,SDG 3
Hemoptysis recurrence in an Indonesian female with pulmonary aspergilloma: A case report,SDG 3
Hemoptysis in a patient with pulmonary aspergilloma and type 2 diabetes mellitus: A rare case in an Indonesian adult,SDG 3
Hemolytic Anemia in Pregnancy: A Rare and Challenging Case in Indonesia,SDG 3
Hemoglobin levels in patients with human immunodeficiency virus naïve therapy containing zidovudine in the first three months,SDG 3
Hemoglobin level and albumin as a predictive factors for anastomotic leakage following after hemicolectomy: A prospective study for colon cancer,SDG 3
"Hemoglobin, Hematocrit, Leukocyte, and Platelet Changes Due To Ultrafiltrationhemodialysis in Chronic Kidney Disease Patients",SDG 3
Hemodynamic stroke in simultaneous cardio cerebral infarction: A new term for cardiologist,SDG 3
Hepatitis C Virus Genotyping from anti-HCV Negative Sera in Blood Donors,SDG 3
Hemispherectomy procedure in proteus syndrome,SDG 3
"Hematologic and coagulopathy parameter as a survival predictor among moderate to severe COVID-19 patients in non- ICU ward: a single-center study at the main referral hospital in Surabaya, East Java, Indonesia",SDG 3
Hematological side effect analysis of linezolid in MDR-TB patients with individual therapy,SDG 3
Helicobacter pylori virulence genes in the five largest islands of Indonesia,SDG 3
Helicobacter pylori vacuolating cytotoxin and gastric cancer risk: Reconsidered,SDG 3
Helicobacter pylori urease for diagnosis of Helicobacter pylori infection: A mini review,SDG 3
"Helicobacter pylori Infection, Its Laboratory Diagnosis, and Antimicrobial Resistance: a Perspective of Clinical Relevance",SDG 3
Helicobacter pylori infection in Thailand: A nationwide study of the CagA phenotype,SDG 3
Helicobacter pylori infection and gastric mucosal atrophy in two ethnic groups in Nepal,SDG 3
Helicobacter pylori detection in gastric biopsy: immunohistochemistry and toluidine blue comparison,SDG 3
"Helicobacter pylori as an oncogenic pathogen, revisited",SDG 3
Clinical presentation of maternal death with COVID-19 in rural tertiary care center: A retrospective-descriptive Study,SDG 3
"Helicobacter, hygiene, atopy, and asthma",SDG 3
Hedyotiscorymbosa (L.) Lamk - The potential inhibitor extract of oral cancer cell progressivity in benzopyrene induced rattus novergicus,SDG 3
Hematologic changes and splenic index on malaria mice models given Syzygium cumini extract as an adjuvant therapy,SDG 3
Heavy metals level and health effects in industrial area community,SDG 3
Clinical prediction score for prolonged length of hospital stay in aneurysmal subarachnoid hemorrhage,SDG 3
Hepatoprotective Effect of Gamma-mangostin for Amelioration of Impaired Liver Structure and Function in Streptozotocin-induced Diabetic Mice,SDG 3
High-intensity combination exercise has the highest effect on increasing serum irisin and interleukin 6 levels in women with obesity,SDG 3
Clinical characteristics of acute fatty liver of pregnancy in a tertiary Indonesian hospital,SDG 3
"Clinical characteristics of patients with COVID-19 admitted to the COVID-19 Emergency Field Hospital of Bangkalan, Indonesia",SDG 3
High filamin-C expression predicts enhanced invasiveness and poor outcome in glioblastoma multiforme,SDG 3
High-Fat Diet Decreases Serum TNF-Alpha and Breast Tumor Area on Benzopyrene Induced Mice (Mus Musculus),SDG 3
Higher genome mutation rates of Beijing lineage of Mycobacterium tuberculosis during human infection,SDG 3
"Higher cardiovascular risks and Atherogenic Index of Plasma found in police officers of developing country in Surabaya, East Java, Indonesia",SDG 3
High dose allicin with Vitamin C improves EPCs migration from the patient with coronary artery disease,SDG 3
Hibiscus sabdariffa L. Flower Distilled Water Extract Antibacterial Activity towards Streptococcus mutans: An in vitro Study,SDG 3
"Clinical characteristics, treatment patterns and economic burden of COPD in Kyrgyzstan: A FRESH AIR study",SDG 3
Hibiscus Rosa-Sinensis Linn Leaf Extract Increased Platelet Counts and Fibrin Density: in Vivo Study,SDG 3
Clinical Diagnosis and Early Medical Management for Endometriosis: Consensus from Asian Expert Group,SDG 3
Clinical features and overall survival of females with hepatocellular carcinoma: A retrospective study and review of the literature in the association of southeast asian nations,SDG 3
Hepatitis E Inhibited by Rosmarinic Acid Extract from Clove Plant (Syzygium Aromaricum) through Computational Analysis,SDG 3
"Clinical, laboratory and radiologic evaluations in patients with malignant tuberculous spondylitis",SDG 3
Herpes zoster following COVID-19 asymptomatic infection in children,SDG 3
Herpes Zoster: a case series with different manifestations,SDG 3
Clinically suspected myocarditis complicating dengue shock syndrome: a case report and literature review of cardiac complication in dengue-affected pediatric patient,SDG 3
Clinical manifestations and pregnancy outcomes of COVID-19 in indonesian referral hospital in central pandemic area,SDG 3
"Clinical manifestations of COVID-19 in patients with asthma, hypertension, and diabetes mellitus",SDG 3
Clinical outcome and safety of stem cell therapy for ischemic stroke: A systematic review and meta-analysis,SDG 3
Clinical outcomes of MLC601 (NeuroaidTM) in traumatic brain injury: A pilot study,SDG 3
Clinical outcomes of opioid administration in acute and chronic heart failure: A meta-analysis,SDG 3
Clinical outcomes of repeated intraventricular transplantation of autologous bone marrow mesenchymal stem cells in chronic haemorrhagic stroke. A one-year follow up,SDG 3
Herbal combination from Moringa oleifera Lam. and Curcuma longa L. as SARS-CoV-2 antiviral via dual inhibitor pathway: A viroinformatics approach,SDG 3
Hepato-Renal Protective Effects of Mangosteen (Garcinia mangostana L.) Pericarp Extract in Streptozotocin-induced Diabetic Mice,SDG 3
Clinical pharmacy services for tuberculosis management: a systematic review,SDG 3
Hepatoprotective effects of polysaccharides: A review,SDG 3
Herpes zoster in COVID-19 patient: A coexistence or coincidence?,SDG 3
"Clinical presentation of nasopharyngeal Carcinoma in East Java, Indonesia",SDG 3
"Heavy metals contamination in groundwater around Sidoarjo mud Vulcano area, East Java Indonesia",SDG 3
Clinical profile of children with rheumatic heart disease in Indonesia,SDG 3
Combination of curcumin photosensitizer with laser diode to reduce antibiotic resistant bacterial biofilms,SDG 3
Combination of Encephalo-Myo-Pial-Synangiosis and Encephalo-Arterio-Pial-Synangiosis Procedure in Pediatric Moya-Moya Disease,SDG 3
Combined Aerobic Exercise with Intermittent Fasting Is Effective for Reducing mTOR and Bcl-2 Levels in Obese Females,SDG 3
Health Impacts of Cr Contamination in Soil,SDG 3
Combined benson and dhikr relaxation reduces anxiety and pulse frequency of inpatient cardiacs in hospitals,SDG 3
HEALTH EXPENDITURE ANALYSIS IN PATIENTS WITH PREGNANCY-LABOR COMPLICATIONS IN SURABAYA,SDG 3
"Combining essential ginger oil and acupressure relaxation techniques for cancer patients, post-chemotherapy",SDG 3
Health economic evaluation of current vaccination strategies and new vaccines against tuberculosis: a systematic review,SDG 3
Commitment for anaemia prevention is associated with adherence to iron supplementation and iron intake among pregnant women,SDG 3
Common endodontic treatment challenge in an elderly patient: Negotiating root canal impediments,SDG 3
Communal septic tanks as appropriate technology to achieve Surabaya Open Defecation Free (ODF),SDG 3
Community behavioral change and management of COVID-19 Pandemic: Evidence from Indonesia,SDG 3
Community health worker-based empowerment against stigmatization of people living with HIV/AIDS: A meta-synthesis,SDG 3
Colour segmentation of multi variants tuberculosis sputum images using self organizing map,SDG 3
Community knowledge and attitude in recognizing asthma symptoms and using medication for asthma attacks: A cross-sectional study,SDG 3
Community Response to the Impact of Thunderstorm Asthma Using Smart Technology,SDG 3
Comorbidities and COVID-19 status influence the survival rate of geriatric patients in intensive care units: a prospective cohort study from the Indonesian Society of Anaesthesiology and Intensive Therapy,SDG 3
Comparative analysis of qpcr measurement of hiv viral load and elisa detection of p24 antigen after hyperbaric oxygen exposure,SDG 3
Comparative Analysis of Risk Assessment Methods in StrokIndo Case Study,SDG 3
Hba1c as a predictor of fetal outcomes in pregestational diabetes mellitus,SDG 3
HBA1C and plasma transforming growth factor-beta 1 in type-2 diabetes mellitus patients,SDG 3
Comparative analysis study of different positions by hands and feet on functional mobility assessed by five times sit to stand test on post-stroke patients,SDG 3
"Comparative diagnostic value of anti-dengue IgG, anti-dengue IgM of two rapid tests in dengue virus infection",SDG 3
Comparative efficacy of topical adipocyte-derived mesenchymal stem cells-conditioned medium (Admsc-cm) and amniotic membrane mesenchymal stem cells-conditioned medium (amsc-cm) on chronic plantar ulcers in leprosy: A randomized controlled trial,SDG 3
Comparative evaluation of microscopy and loop-mediated isothermal amplification (Lamp) assay for the diagnosis of tuberculosis,SDG 3
"Comparative genomics of two Vietnamese Helicobacter pylori strains, CHC155 from a non-cardia gastric cancer patient and VN1291 from a duodenal ulcer patient",SDG 3
"Comparative study on albumin, C-Reactive Protein (CRP) and D-dimer in chronic hemodialysis patients with COVID-19",SDG 3
Comparing single-item assessment and IIEF-5 for reporting erectile dysfunction following nerve-sparing radical retropubic prostatectomy,SDG 3
Healthcare associated COVID-19 transmission: Strategies to prevent,SDG 3
Colorectal cancer tissue classification based on machine learning,SDG 3
College Students’ Behavior Consuming Sugar-Sweetened Beverages (SSB) During the COVID-19 Pandemic,SDG 3
Collagen-chitosan scaffold - Lauric acid plasticizer for skin tissue engineering on burn cases,SDG 3
Heat Shock Factor 1 Inhibition: A Novel Anti-Cancer Strategy with Promise for Precision Oncology,SDG 3
Clinical signs and laboratory parameters as predictors of mortality among hospitalized human immunodeficiency virus-infected adult patients at tertiary hospital in surabaya,SDG 3
Healthy Household and Complete Basic Immunization as A Risk for Causes of Toddler Pneumonia in Jember Regency: Correlation Study,SDG 3
"Health system and quality of care factors contributing to maternal deaths in East Java, Indonesia",SDG 3
Health status condition on children with leukemia through family centered empowerment model,SDG 3
Health services for catastrophic patients through the national health insurance program: literature review,SDG 3
Clinicopathological profile of urothelial carcinoma of the bladder: A five-year retrospective study,SDG 3
"Health seeking behavior in Bulak Banteng, Surabaya",SDG 3
Health risks associated with high waist circumference: A systematic review,SDG 3
Health risk assessment of metals in mud crab (Scylla serrata) from the East Java Estuaries of Indonesia,SDG 3
"Clinicopathological study of sarcomatoid renal cell carcinoma in animals in East Java, Indonesia, from 2017 to 2022",SDG 3
Health-related quality of life of dialysis patients during early COVID-19 lockdowns: a snapshot from a public hospital in Malaysia,SDG 3
Health-related quality of life in Indonesian type 2 diabetes mellitus outpatients measured with the Bahasa version of EQ-5D,SDG 3
Health-related quality of life in Her2-positive early breast cancer woman using trastuzumab: A systematic review and meta-analysis,SDG 3
Clitoria Ternatea Ethanol Extract Antibacterial and Anti-Inflammatory Ability Towards Peri-Implantitis Biomarkers: An in Vitro and in Silico Study,SDG 3
Health-related quality of life for patients with cardiovascular disease after a coronary artery bypass graft: A systematic review,SDG 3
Health Literacy Brisk Walking Exercise on Clinical Outcomes of Blood Sugar in Patients with Type 2 Diabetes Mellitus in Indonesia,SDG 3
Cloning and Protein Expression of eccB5 Gene in ESX-5 System from Mycobacterium tuberculosis,SDG 3
Health Level Classification of Motor Stroke Patients Based on Flex Sensor Using Fuzzy Logic Method,SDG 3
"Cloning, expression and T cell epitope prediction of fbpa and fbpb genes of mycobacterium tuberculosis clinical isolates",SDG 3
Clove Flower Extract (Syzygium aromaticum) Has Anticancer Potential Effect Analyzed by Molecular Docking and Brine Shrimp Lethality Test (BSLT),SDG 3
Clustering and Tracking the Stability of Biological CVD Risk Factors in Adolescents: The Malaysian Health and Adolescents Longitudinal Research Team Study (MyHeARTs),SDG 3
CLUSTER K-MEANS ANALYSIS OF THE HIV EPIDEMIC LEVEL IN THE CITIES OF EAST JAVA,SDG 3
"Cluster of differentiation 36 (CD 36), ENac, and AQP 2 effects on heart",SDG 3
Health insurance literacy: Discussion and reaction of facebook users’ towards the national health insurance in Indonesia,SDG 3
CNN-Based Detection of SARS-CoV-2 Variants Using Spike Protein Hydrophobicity,SDG 3
Coal dust and acute respiratory infections in south Kalimantan PT ‘X’ coal mining workers,SDG 3
Coleus amboinicus extract increases transforming growth factor-1β expression in Wistar rats with cisplatin-induced nephropathy,SDG 3
Collaboration process between local government and public institution in preventing HIV/AIDS diseases,SDG 3
High intensity interval exercise maintains irisin level and reduces body fat in overweight women,SDG 3
"Comparing socio-economic conditions of mother and children with leprosy in endemic and non-endemic areas in East Java, Indonesia",SDG 3
High-intensity interval training for improving maximum aerobic capacity in women with sedentary lifestyle: A systematic review and meta-analysis,SDG 3
Highlighting of urinary sodium and potassium among Indonesian schoolchildren aged 9-12 years: The contribution of school food,SDG 3
Chest Pain in a Patient With an Anomalous Coronary Artery and Multiple Valvular Diseases: What is the Culprit?,SDG 3
Hybrid learning as alternative approach to improve Indonesian medical students' attitude towards clinical skills during COVID-19 pandemic,SDG 3
Hybrid CPU and GPU computation to detect lung nodule in computed tomography images,SDG 3
Chest wall tumor tuberculosis in Indonesian adolescent: A rare case,SDG 3
Chest X-ray dataset and ground truth for lung segmentation,SDG 3
Chest X-Ray using Brixia and Fractional Inspiratory Oxygen as Severity and Mortality predictor of COVID-19,SDG 3
HUSBAND'S SUPPORT IN WIFE'S ANC IN EASTERN INDONESIA: DO REGIONAL DISPARITIES EXIST?,SDG 3
Husband's role related to wife's antenatal care,SDG 3
Husband’s involvement in wife’s antenatal care visits in Indonesia: What factors are related?,SDG 3
Chikungunya in Indonesia: Epidemiology and diagnostic challenges,SDG 3
Human umbilical cord mesenchymal stem cells accelerate and increase implant osseointegration in diabetic rats,SDG 3
Child health care practices and stunting in children aged 12-36 months in jember regency of Indonesia,SDG 3
Human umbilical cord blood-mesenchymal stem cell-derived secretome in combination with atorvastatin enhances endothelial progenitor cells proliferation and migration,SDG 3
Chemotherapeutic prospects of organic extracts of Bornetella nitida from Selayar Island,SDG 3
Human umbilical cord blood-derived secretome enhance endothelial progenitor cells migration on hyperglycemic conditions,SDG 3
Humanin nanoparticles for reducing pathological factors characteristic of age-related macular degeneration,SDG 3
"Human herpes virus 8 antibodies in HIV-positive patients in Surabaya, Indonesia",SDG 3
Human epidermal growth factor receptor 2 (HER2)-specific chimeric antigen receptor (CAR) for tumor immunotherapy; recent progress,SDG 3
Childhood adversities and mental health problems: A systematic review,SDG 3
Childhood socioeconomic status and adulthood dietary diversity among Indonesian adults,SDG 3
Child life program through drawing play activity as efforts to minimize stress hospitalization in children with leukemia,SDG 3
Children's exposure to polycyclic aromatic hydrocarbon (PAHs): A review on urinary 1-hydroxypyrene and associated health effects,SDG 3
"Child Sex Tourism: A Case Study in Surabaya, Indonesia",SDG 3
"Choosing intrauterine device of mothers in rural area, Indonesia: Based on Health Belief Model Theory",SDG 3
Chronic dialysis patient with severe secondary hyperparathyroidism undergoing parathyroidectomy in Indonesia: a case series,SDG 3
HPTLC method development and validation for the determination of andrographolide in raw material and tablet containing ethyl acetate fraction of Andrographis paniculata,SDG 3
How to prioritize treatment in dual malignancy: A case report of patient with non-Hodgkin lymphoma and breast cancer,SDG 3
"Chronic Disease Prediction Model Using Integration of DBSCAN, SMOTE-ENN, and Random Forest",SDG 3
Human migration and the spread of malaria parasites to the New World,SDG 3
Chronic hepatitis B management in six South Australian Aboriginal community controlled health services,SDG 3
Hybrid radial basis function with firefly algorithm and simulated annealing for detection of high cholesterol through iris images,SDG 3
Chemoinformatics approach to the screening and development of quassinoids from Brucea javanica as antituberculosis drugs,SDG 3
Characterization of alginate from sargassum duplicatum and the antioxidant effect of alginate-okra fruit extracts combination for wound healing on diabetic mice,SDG 3
Characterization of Coaxially Electrospun Poly (L-Lactic) Acid/Chitosan with Heparin Modification as Patch Angioplasty Candidate,SDG 3
"Characterization of CTX-M-type-extended-spectrum beta-lactamase (ESBL)-producing Enterobacteriaceae isolated from Indonesian undergraduate medical students of a university in Surabaya, Indonesia",SDG 3
Characterization of Dry Powder Inhaler Quercetin Solid Lipid Microparticle (SLM) as Lung Delivery System: Effect of Polymer Concentration,SDG 3
Characterization of HIV-1 CRF01_AE env Genes Derived from Recently Infected Indonesian Individuals,SDG 3
"Identification and isolation of japanese encephalitis virus genotype IV from culex vishnui collected in Bali, Indonesia in 2019",SDG 3
Identification and In Silico Characterization of a Conserved Peptide on Influenza Hemagglutinin Protein: A New Potential Antigen for Universal Influenza Vaccine Development,SDG 3
Hypolipidemic effect of fermented soymilk related with lactic acid bacteria in feaces,SDG 3
Hypertension is associated with antibody response and breakthrough infection in health care workers following vaccination with inactivated SARS-CoV-2,SDG 3
Hypertension and COVID-19: Potential use of beta-blockers and a call for randomized evidence,SDG 3
Hyperkalemia Associated with Angiotensin Converting Enzyme Inhibitor or Angiotensin Receptor Blockers in Chronic Kidney Disease,SDG 3
Hyperglicemia in childhood acute lymphoblastic leukemia during induction chemotherapy,SDG 3
Hyperbaric oxygen therapy effect on androgen receptor and superoxide dismutase in insulin-resistant polycystic ovary syndrome,SDG 3
Chemopreventive practices in traditional medicine,SDG 3
Hyperbaric oxygen exposure reduces ICAM-1 and HIF-1α expression in brain endothelial cells from experimental cerebral malaria mice,SDG 3
"Characterization of SARS-CoV-2 East Java isolate, Indonesia",SDG 3
Hygiene and Sanitation of Food Processing Center in Gudang 100 Warehouse at Tanjung Perak Sea Port of Surabaya 2018,SDG 3
"Characterization of spatial and temporal transmission of HIV infection in Surabaya, Indonesia: Geographic information system (GIS) cluster detection analysis (2016–2020)",SDG 3
"Hygiene and Sanitation of Drinking Water Depot and Microbiology Quality of Drinking Water in Ngasem Primary Healthcare Area, Kediri, East Java.",SDG 3
Characterization of the spike glycoprotein and construction of an epitope-based vaccine candidate against Indonesian SARS-CoV-2: In silico study,SDG 3
Hydroxychloroquine Toxicity in the Vital Organs of the Body: In Vivo Study,SDG 3
Characterizing helicobacter pylori cagA in Myanmar,SDG 3
Hydroxyapatite coating on cobalt alloys using electrophoretic deposition method for bone implant application,SDG 3
Chemical composition and anticancer activity of macaranga hosei leaves,SDG 3
Chemoinformatics approach to design and develop vanillin analogs as COX-1 inhibitor,SDG 3
Hydration status and learning concentration of adolescents during online learning in the era of Covid-19 pandemic,SDG 3
Hydration status and degree of clinical severity patients with thrombotic infarction stroke,SDG 3
Hydration effect on kidney function and serum electrolyte in children with tumor lysis syndrome (TLS) and risk of TLS,SDG 3
Hyperbaric hyperoxia exposure in suppressing human immunodeficiency virus replication: An experimental in vitro in peripheral mononuclear blood cells culture,SDG 3
How to avoid maternal deaths in PAS?,SDG 3
How to attract health students to remote areas in Indonesia: a discrete choice experiment,SDG 3
Chronic kidney disease-mineral and bone disorders laboratory profiles in chronic haemodialysis patients,SDG 3
"HLA-DRB1 allele distribution among children with rheumatic heart disease in Haji Adam Malik Hospital Medan, Indonesia",SDG 3
HLA-DQA1 and HLA-DQB1 Gene Polymorphism in Indonesian Children with Type I Diabetes Mellitus,SDG 3
"Climate and visitors as the influencing factors of dengue fever in Badung District of Bali, Indonesia",SDG 3
"Climate factors improve accuracy of time series model for dengue hemorrhagic fever forecasting in Pasuruan Regency, Indonesia",SDG 3
HIV-related knowledge level among Indonesian women between 15 years and 49 years of age,SDG 3
Clinacanthus nutans leaf extract reduces pancreatic β-cell apoptosis by inhibiting JNK activation and modulating oxidative stress and inflammation in streptozotocin-induced diabetic rats,SDG 3
"HIV-related knowledge, information, and their contribution to stigmatization attitudes among females aged 15–24 years: regional disparities in Indonesia",SDG 3
"Clinacanthus nutans L Extracts Reduce the Serum Tumor Necrosis Factor-α, Malondialdehyde, and Interleukin-6 Levels and Improve the Langerhans Islet Area in Diabetic Rat Models",SDG 3
Clinical and functional outcome after different surgical approaches for brachial plexus injuries: Cohort study,SDG 3
HIV/AIDS-related knowledge among Indonesian women: the role of media exposure and socio-demographic factors,SDG 3
Clinical and laboratory effects of exchange transfusion in pediatric acute lymphoblastic leukemia with hyperleukocytosis,SDG 3
"HIV-1 transmitted drug resistance mutations among antiretroviral therapy-Naïve individuals in Surabaya, Indonesia",SDG 3
HIV-1 TAT: A potential diagnostic and disease progression biomarker of HIV/AIDS,SDG 3
"Clear-cell renal cell carcinoma and glioblastoma multiforme coexistence: Double primary malignancy, does it have a causal relationship?",SDG 3
Histopathology Grading Identification of Breast Cancer Based on Texture Classification Using GLCM and Neural Network Method,SDG 3
Histomorphological studies of the organs of malaria mice model after administration combination of leaf and stem bark extract of syzygium cumini with chloroquine,SDG 3
Hippocampal structural alterations in early-stage psychosis: Specificity and relationship to clinical outcomes,SDG 3
"Clinical and ultrasonography evaluation of thyroid tumor screening in symptomatic patient of Bajulmati primary care center, Banyuwangi, East Java, Indonesia",SDG 3
"High socioeconomic status is associated with stroke severity among stroke patients in the National Brain Centre Hospital, Jakarta, Indonesia",SDG 3
High Sensitivity Troponin T as Complementary Modality for Determining Doxorubicin Regimen Cardiotoxicity in Non-Hodgkin Lymphoma Patients,SDG 3
"Clinical and virological characteristics of dengue in Surabaya, Indonesia",SDG 3
"High rates of hepatitis B virus (HBV),hepatitis C virus (HCV),and human immunodeficiency virus infections and uncommon HBV genotype/subtype and HCV subtype distributions among transgender individuals in Surabaya,Indonesia",SDG 3
Clinical applications and mechanism insights of natural flavonoids against type 2 diabetes mellitus,SDG 3
"High Prevalence of Metabolic Syndrome among Middle-Aged People in the Rural Area of Cianjur, Indonesia",SDG 3
High Maternal Neonatal Mortality and Morbidity in Pregnancy with Eisenmenger Syndrome,SDG 3
"Clinical characteristics and outcomes of hospitalized COVID-19 patients with diabetes mellitus in East Java, Indonesia: A cross-sectional study",SDG 3
"Highly Luminescent, Stable, and Red-Emitting CsMg xPb1- xI3Quantum Dots for Dual-Modal Imaging-Guided Photodynamic Therapy and Photocatalytic Activity",SDG 3
Clinical characteristics and surgical outcomes of cardiac myxoma: A meta-analysis of worldwide experience,SDG 3
"Clinical and radiological profiles of metastatic brain tumor in Indonesia: A study at Dr. Soetomo Hospital, Surabaya",SDG 3
Hormonal contraceptive exposure and risk factors for meningioma in Soetomo hospital 2012–2016,SDG 3
Classifying imaginary hand movement through electroencephalograph signal for neuro-rehabilitation,SDG 3
Hospital acquired pneumonia risk factors in children with Acute Lymphoblastic Leukemia on chemotherapy,SDG 3
How should indonesia consider its neglected tropical diseases in the COVID-19 era? Hopes and challenges (review),SDG 3
HOW IS THE CORONAVIRUS OUTBREAK AFFECTING THE DAILY LIVES OF UNIVERSITY STUDENTS?,SDG 3
How Is Telehealth Currently Being Utilized to Help in Hypertension Management within Primary Healthcare Settings? A Scoping Review,SDG 3
Circular economy needs the resilient systems in covid-19 pandemic,SDG 3
How Effective is Angiotensin II in Decreasing Mortality of Vasodilatory Shock? A Systematic Review,SDG 3
Circulating plasma miRNA-21 as a superior biomarker compared to CA 15-3: Assessment in healthy age matched subjects and different stage of breast cancer patients,SDG 3
How does the work-life balance impact stress on primary healthcare workers during the COVID-19 pandemic?,SDG 3
"How does the dayak ngaju community treat malaria? A qualitative study on the use of traditional medicine in central Kalimantan Province, Indonesia",SDG 3
"Citrus reticulata extract as biocides to control Aedes aegypti, the vector of dengue",SDG 3
C-KIT mutation role in oral malignant melanoma pathway: A narrative review,SDG 3
Classification analysis using decision tree on factors that influence the selection of contraception equipment in East Java Province,SDG 3
Classification and Counting of Mycobacterium Tuberculosis from Sputum Microscopic Image using Fuzzy Logic,SDG 3
"Classification of adeno carcinoma, high squamous intraephithelial lesion, and squamous cell carcinoma in Pap smear images based on extreme learning machine",SDG 3
Classification of cervical cancer cells using the K-nearest neighbor (KNN) method based on geometric feature extraction,SDG 3
Classification of COVID-19 Disease From Chest X-Ray Images Using the SqueezeNet and Bayesian Optimization Methods,SDG 3
HOUSEHOLD SANITATION AS A DIARRHEA DRIVING FACTOR OF UNDER-FIVE CHILDREN IN BOJONEGORO REGENCY,SDG 3
Household food insecurity as a predictor of stunted children and overweight/obese mothers (SCOWT) in Urban Indonesia,SDG 3
Classification of digital mammogram based on nearest-neighbor method for breast cancer detection,SDG 3
Classification of features shape of Gram-negative bacterial using an extreme learning machine,SDG 3
Classification of Human Gender from Sweat Odor using Electronic Nose with Machine Learning Methods,SDG 3
Classification of magnetic resonance (MR) brain images using energy coefficient and neural network,SDG 3
Classification of mycobacterium tuberculosis based on color feature extraction using adaptive boosting method,SDG 3
HOUSEHOLD BUSINESS STRATEGY DURING THE COVID 19 PANDEMIC,SDG 3
Hotel Survival Strategies in Bali During the Covid-19 Pandemic,SDG 3
Classification of pneumonia patients risk using hybrid genetic algorithm-discriminant analysis and NaÏve Bayes,SDG 3
Hospital utilization in Indonesia in 2018: do urban–rural disparities exist?,SDG 3
Classification of tumor based on magnetic resonance (MR) brain images using wavelet energy feature and neuro-fuzzy model,SDG 3
Hospital nurses’ perceptions of distributive justice under the national health insurance scheme in Indonesia,SDG 3
Hospital-and community-based surveillance of zika and dengue viruses in Indonesia,SDG 3
"Clinical characteristics, management, and outcomes of pulmonary valve myxoma: systematic review of published case reports",SDG 3
Comparing the degree of direct sputum afb smear-positive with the sedimentation in patients suspected of pulmonary tuberculosis,SDG 3
Comparing the EQ-5D-3 L and EQ-5D-5 L: studying measurement and scores in Indonesian type 2 diabetes mellitus patients,SDG 3
"Comparison between lung ultrasonography and chest x-ray in the diagnosis of respiratory distress syndrome in preterm neonates in dr. Soetomo general hospital surabaya, indonesia.",SDG 3
"Contaminants and Human Health Risks Associated with Exposure to Microplastic Ingestion of Green Mussels (Perna viridis) Collected from The Kedonganan Fish Market, Bali",SDG 3
"Continuous dengue type 1 virus genotype shifts followed by co-circulation, clade shifts and subsequent disappearance in Surabaya, Indonesia, 2008-2013",SDG 3
Genetic engineering employing MPB70 and its promoter enables efficient secretion and expression of foreign antigen in bacillus Calmette Guérin (BCG) Tokyo,SDG 3
Contributing factors of neonatal death from mother with preeclampsia in Indonesia,SDG 3
Contributing factors of neonatal death frommother with preeclampsia in Indonesia,SDG 3
"Genetic Diversity of Plasmodium falciparum Glutamate Rich Protein in Patients Attending the Merauke Hospital in Papua Province, Indonesia",SDG 3
"Genetic Diversity and Drug Resistance of HIV-1 Circulating in North Sulawesi, Indonesia",SDG 3
Genetic determinants of Biofilm formation of Helicobacter pylori using whole-genome sequencing,SDG 3
Genetic characterization of N-acetyltransferase 2 variants in acquired multidrug-resistant tuberculosis in Indonesia,SDG 3
"Genetic characterization of dengue virus 4 complete genomes from East Java, Indonesia",SDG 3
Contributing factors of the mother’s behavior in fulfilling nutritional needs for under-five children with overweight and obesity,SDG 3
Genetic analysis of ESBL-producing Klebsiella pneumoniae isolated from UTI patients in Indonesia,SDG 3
Contribution of NRAMP1 gene expression and protein level in pulmonary and latent TB infection in Indonesia,SDG 3
Genetic Identification of Shiga Toxin Encoding Gene from Cases of Multidrug Resistance (MDR) Escherichia coli Isolated from Raw Milk,SDG 3
Controlling Arsenic Accumulation in Rice Grain under Nanomaterials-Assisted Optimal Greenhouse Set-Up,SDG 3
Control system modeling of artificial pancreas based on PID controller mechanism with Particle Swarm Optimization (PSO) tuning method,SDG 3
Gene prolactine receptor (PRLR) and signal transducer and activator of transcription 5 (STAT5) on milk production,SDG 3
"Controversy and Consensus on Indications for Sperm DNA Fragmentation Testing in Male Infertility: A Global Survey, Current Guidelines, and Expert Recommendations",SDG 3
Gene expression tryptophan aspartate coat protein in determining latent tuberculosis infection using immunocytochemistry and real time polimerase chain reaction,SDG 3
Gene Delivery Systems: Development and Applications,SDG 3
"Controversy and Consensus on the Management of Elevated Sperm DNA Fragmentation in Male Infertility: A Global Survey, Current Guidelines, and Expert Recommendations",SDG 3
"COPING STRATEGIES, SELF-EFFICACY, AND PERCEPTION AMONG FAMILY CAREGIVERS FOR POST-STROKE SURVIVORS IN INDONESIA",SDG 3
Coping strategies to overcome psychological distress and fear during COVID-19 pandemic in Kuwait,SDG 3
"Coping Through Religiosity, Spirituality and Social Support Among Muslim Chronic Hepatitis Patients",SDG 3
Coral black band disease in Indonesia: An overview,SDG 3
